place,mean_visit
롯데호텔 부산,[2.   1.57 1.67 1.82 1.5  1.36 1.71]
켄트 호텔,[2.   1.   1.33 1.   1.   1.   1.5 ]
호텔1,[1.  1.  1.  1.  1.  1.  1.2]
코스트코코리아 부산점,[17. 15. 22.  6.  1. 17. 22.]
메가마트 동래점,[ 7.5   4.33  5.    5.67 12.5   3.    4.5 ]
이마트 트레이더스 서면점,[18. 13. 20.  6.  1. 27. 16.]
롯데마트 화명점,[ 7.   7.5  8.5  5.   7.  12.   3. ]
메가마트 남천점,[6.33 5.   3.67 3.67 4.   8.5  6.33]
홈플러스 아시아드점,[ 5.   9.5  8.   8.5 12.  11.  15. ]
이마트 해운대점,[ 3.67  5.67  4.33  4.33  6.   11.    6.  ]
이마트 문현점,[ 9.5  6.5  5.   6.   8.  12.5 13. ]
롯데마트 사상점,[7.   6.   3.33 3.33 4.   9.5  4.67]
이마트 금정점,[ 7.   8.   6.   2.   7.5 12.   7.5]
뜨삽 수성못점,[1.45 2.   2.   1.6  1.5  1.73 1.75]
동성로작은방,[2.44 2.11 1.78 1.33 1.5  1.83 1.36]
중앙떡볶이,[1.25 1.23 1.5  1.67 1.5  2.27 2.12]
VIN PLUS,[1.4  1.44 1.   1.   1.5  1.06 1.2 ]
센도리,[1.7  1.5  1.29 1.14 1.29 1.   1.25]
삼송빵집 본점,[3.11 2.83 2.5  3.   2.29 3.75 3.5 ]
앞산주택,[1.   1.71 1.17 1.22 1.56 1.27 1.62]
용지봉,[1.4  1.   1.07 1.45 1.21 1.14 1.75]
낙영찜갈비 본점,[1.12 1.   1.   1.2  1.17 1.5  1.  ]
최가네케익,[1.43 1.   1.   1.11 1.25 1.23 1.  ]
티아이티에프,[1.44 1.44 1.38 1.14 1.14 1.29 1.47]
카페 루시드,[1.5  1.56 1.1  1.4  1.75 1.22 3.  ]
오르다카페,[1.15 1.62 1.   1.14 1.11 1.83 1.36]
오퐁드부아,[1.   1.57 1.5  1.57 1.83 3.   3.08]
헤이마,[1.17 1.88 1.71 1.43 2.71 2.22 1.55]
161커피스튜디오,[1.   1.   1.   1.5  1.   1.   2.12]
룰리커피,[1.33 1.   1.71 1.   1.78 1.57 1.5 ]
두류공원,[1. 1. 1. 1. 1. 1. 1.]
월광수변공원,[1.  1.  1.  1.  1.  1.5 1. ]
경상감영공원,[1. 1. 1. 1. 1. 1. 1.]
앞산공원,[1. 1. 1. 1. 1. 1. 1.]
팔공산케이블카,[4.5  1.6  1.67 2.75 1.5  7.5  5.17]
동성로클라이밍짐,[1. 1. 1. 1. 1. 1. 1.]
M클라이밍 남대구점,[1.  1.  1.  1.  1.  1.  1.5]
손세동 클라이밍 칠곡점,[1. 1. 1. 1. 1. 1. 1.]
노보텔 앰배서더 대구,[1. 1. 1. 1. 1. 1. 1.]
호텔인터불고 대구,[1.67 1.86 1.38 1.4  1.25 1.38 1.58]
