place,name,sort,rating,reviews
롯데월드,롯데월드,테마파크,4.48/5,"['방문자리뷰 33,267, /place/11583235/review/visitor', '블로그리뷰 7997, /place/11583235/review/ugc']"
에버랜드,에버랜드,테마파크,4.57/5,"['방문자리뷰 41,506, /place/11574457/review/visitor', '블로그리뷰 14492, /place/11574457/review/ugc']"
여의도 한강공원,여의도 한강공원,시민공원,4.34/5,"['방문자리뷰 163, /place/13416869/review/visitor', '블로그리뷰 7666, /place/13416869/review/ugc']"
연희 38 애비뉴,연희 38 애비뉴,요리주점,4.59/5,"['방문자리뷰 28, /restaurant/1752407214/review/visitor', '블로그리뷰 75, /restaurant/1752407214/review/ugc']"
