place,name,sort,rating,reviews
합천일류돼지국밥,합천일류돼지국밥,국밥,4.43/5,"['방문자리뷰 1,620, /restaurant/20299805/review/visitor', '블로그리뷰 1196, /restaurant/20299805/review/ugc']"
삼진어묵 부산역광장점,삼진어묵 부산역광장점,한식,4.49/5,"['방문자리뷰 280, /restaurant/1547520001/review/visitor', '블로그리뷰 212, /restaurant/1547520001/review/ugc']"
다리집,다리집,종합분식,4.25/5,"['방문자리뷰 572, /restaurant/13524427/review/visitor', '블로그리뷰 1798, /restaurant/13524427/review/ugc', '푸드윈도, https://shopping.naver.com/outlink/storehome/100425878']"
해운대 가야밀면,해운대 가야밀면,국수,4.54/5,"['방문자리뷰 1,581, /restaurant/20430372/review/visitor', '블로그리뷰 4306, /restaurant/20430372/review/ugc']"
웨이브온 커피,웨이브온 커피,"카페,디저트",4.35/5,"['방문자리뷰 2,636, /restaurant/859310081/review/visitor', '블로그리뷰 3992, /restaurant/859310081/review/ugc']"
옵스 해운대점,옵스 해운대점,베이커리,4.38/5,"['방문자리뷰 1,241, /restaurant/20309509/review/visitor', '블로그리뷰 1918, /restaurant/20309509/review/ugc']"
용호동할매팥빙수단팥죽 본점,용호동할매팥빙수단팥죽 본점,빙수,4.49/5,"['방문자리뷰 621, /restaurant/13573885/review/visitor', '블로그리뷰 770, /restaurant/13573885/review/ugc']"
헤이든,헤이든,"카페,디저트",4.33/5,"['방문자리뷰 1,361, /restaurant/1780456812/review/visitor', '블로그리뷰 1854, /restaurant/1780456812/review/ugc']"
호찐빵,호찐빵,찐빵,4.35/5,"['방문자리뷰 846, /restaurant/16877571/review/visitor', '블로그리뷰 399, /restaurant/16877571/review/ugc']"
신기산업,신기산업,"카페,디저트",4.29/5,"['방문자리뷰 402, /restaurant/13073237/review/visitor', '블로그리뷰 1620, /restaurant/13073237/review/ugc']"
모모스커피,모모스커피,"카페,디저트",4.46/5,"['방문자리뷰 719, /restaurant/37160995/review/visitor', '블로그리뷰 988, /restaurant/37160995/review/ugc']"
공극샌드커피,공극샌드커피,"카페,디저트",4.37/5,"['방문자리뷰 676, /restaurant/1134928543/review/visitor', '블로그리뷰 659, /restaurant/1134928543/review/ugc']"
CoffeeRosso,CoffeeRosso,"카페,디저트",4.29/5,"['방문자리뷰 266, /restaurant/37634089/review/visitor', '블로그리뷰 796, /restaurant/37634089/review/ugc']"
영화의전당,영화의전당,영화관,4.51/5,"['방문자리뷰 143, /place/20410180/review/visitor', '블로그리뷰 3042, /place/20410180/review/ugc']"
메가박스 부산극장본관,메가박스 부산극장본관,영화관,4.55/5,"['방문자리뷰 193, /place/11575840/review/visitor', '블로그리뷰 179, /place/11575840/review/ugc']"
삼락생태공원,삼락생태공원,"자연,생태공원",4.31/5,"['방문자리뷰 40, /place/31927837/review/visitor', '블로그리뷰 1546, /place/31927837/review/ugc']"
부산시민공원,부산시민공원,시민공원,4.34/5,"['방문자리뷰 720, /place/12228256/review/visitor', '블로그리뷰 4045, /place/12228256/review/ugc']"
민락수변공원,민락수변공원,"도시,테마공원",4.3/5,"['방문자리뷰 33, /place/13196092/review/visitor', '블로그리뷰 1881, /place/13196092/review/ugc']"
비프광장,비프광장,광장,4.53/5,"['방문자리뷰 40, /place/11672349/review/visitor', '블로그리뷰 810, /place/11672349/review/ugc']"
용두산공원,용두산공원,근린공원,4.47/5,"['방문자리뷰 53, /place/11622430/review/visitor', '블로그리뷰 2068, /place/11622430/review/ugc']"
용소웰빙공원,용소웰빙공원,"도시,테마공원",0,"['방문자리뷰 1, /place/13400351/review/visitor', '블로그리뷰 325, /place/13400351/review/ugc']"
맥도생태공원,맥도생태공원,"자연,생태공원",4.42/5,"['방문자리뷰 327, /place/13470998/review/visitor', '블로그리뷰 492, /place/13470998/review/ugc']"
용두산공원부산타워,용두산공원부산타워,전망대,4.2/5,"['방문자리뷰 1,549, /place/20058995/review/visitor', '블로그리뷰 754, /place/20058995/review/ugc']"
대저생태공원,대저생태공원,"자연,생태공원",4.5/5,"['방문자리뷰 8, /place/21568278/review/visitor', '블로그리뷰 1704, /place/21568278/review/ugc']"
을숙도생태공원낙동강하구에코센터,을숙도생태공원낙동강하구에코센터,"자연,생태공원",4.49/5,"['방문자리뷰 102, /place/12113635/review/visitor', '블로그리뷰 567, /place/12113635/review/ugc']"
더베이101,더베이101,요트,4.24/5,"['방문자리뷰 132, /place/35058096/review/visitor', '블로그리뷰 3334, /place/35058096/review/ugc']"
송도해상케이블카,송도해상케이블카,케이블카,4.43/5,"['방문자리뷰 7,243, /place/594242077/review/visitor', '블로그리뷰 2308, /place/594242077/review/ugc']"
송도해상케이블카송도스카이파크,송도해상케이블카송도스카이파크,케이블카,4.35/5,"['방문자리뷰 86, /place/1962824676/review/visitor', '블로그리뷰 454, /place/1962824676/review/ugc']"
수영요트경기장,수영요트경기장,요트,3.3/5,"['방문자리뷰 5, /place/11672152/review/visitor', '블로그리뷰 829, /place/11672152/review/ugc']"
부산요트투어 요트야,부산요트투어 요트야,요트,0,"['블로그리뷰 206, /place/1132028824/review/ugc']"
광안리해양레포츠센터,광안리해양레포츠센터,"수상,해양레저",4.05/5,"['방문자리뷰 98, /place/30926851/review/visitor', '블로그리뷰 86, /place/30926851/review/ugc']"
솔로몬로파크,솔로몬로파크,테마공원,4.5/5,"['방문자리뷰 5, /place/16103767/review/visitor', '블로그리뷰 277, /place/16103767/review/ugc']"
서프홀릭 본점,서프홀릭 본점,"서핑,윈드서핑",4.6/5,"['방문자리뷰 327, /place/35136174/review/visitor', '블로그리뷰 414, /place/35136174/review/ugc']"
파크하얏트부산호텔,파크하얏트부산호텔,호텔,4.68/5,"['방문자리뷰 334, /restaurant/31696883/review/visitor', '블로그리뷰 2508, /restaurant/31696883/review/ugc']"
시그니엘 부산,시그니엘 부산,호텔,4.5/5,"['방문자리뷰 135, /place/1857519376/review/visitor', '블로그리뷰 476, /place/1857519376/review/ugc']"
라발스호텔,라발스호텔,호텔,4.4/5,"['방문자리뷰 216, /place/37993162/review/visitor', '블로그리뷰 889, /place/37993162/review/ugc']"
아난티 코브,아난티 코브,"콘도,리조트",4.39/5,"['방문자리뷰 2,488, /place/41332596/review/visitor', '블로그리뷰 1420, /place/41332596/review/ugc']"
롯데호텔 부산,롯데호텔 부산,호텔,4.37/5,"['방문자리뷰 350, /place/11577921/review/visitor', '블로그리뷰 1214, /place/11577921/review/ugc']"
켄트 호텔,켄트 호텔,호텔,4.41/5,"['방문자리뷰 79, /place/37750119/review/visitor', '블로그리뷰 792, /place/37750119/review/ugc']"
호텔1,호텔1,호텔,4.13/5,"['방문자리뷰 71, /place/897879759/review/visitor', '블로그리뷰 750, /place/897879759/review/ugc']"
코스트코코리아 부산점,코스트코코리아 부산점,"슈퍼,마트",4.45/5,"['방문자리뷰 11,641, /place/13326978/review/visitor', '블로그리뷰 2109, /place/13326978/review/ugc']"
메가마트 동래점,메가마트 동래점,"슈퍼,마트",4.43/5,"['방문자리뷰 9,397, /place/11656634/review/visitor', '블로그리뷰 475, /place/11656634/review/ugc']"
이마트 트레이더스 서면점,이마트 트레이더스 서면점,"슈퍼,마트",4.45/5,"['방문자리뷰 13,377, /place/11656645/review/visitor', '블로그리뷰 1198, /place/11656645/review/ugc']"
롯데마트 화명점,롯데마트 화명점,"슈퍼,마트",4.42/5,"['방문자리뷰 6,562, /place/11625315/review/visitor', '블로그리뷰 161, /place/11625315/review/ugc']"
메가마트 남천점,메가마트 남천점,"슈퍼,마트",4.45/5,"['방문자리뷰 4,337, /place/11656639/review/visitor', '블로그리뷰 190, /place/11656639/review/ugc']"
홈플러스 아시아드점,홈플러스 아시아드점,"슈퍼,마트",4.41/5,"['방문자리뷰 8,194, /place/11656535/review/visitor', '블로그리뷰 421, /place/11656535/review/ugc']"
이마트 해운대점,이마트 해운대점,"슈퍼,마트",4.48/5,"['방문자리뷰 4,960, /place/11605063/review/visitor', '블로그리뷰 229, /place/11605063/review/ugc']"
이마트 문현점,이마트 문현점,"슈퍼,마트",4.46/5,"['방문자리뷰 6,992, /place/11605010/review/visitor', '블로그리뷰 296, /place/11605010/review/ugc']"
롯데마트 사상점,롯데마트 사상점,"슈퍼,마트",4.43/5,"['방문자리뷰 4,672, /place/11796441/review/visitor', '블로그리뷰 156, /place/11796441/review/ugc']"
이마트 금정점,이마트 금정점,"슈퍼,마트",4.49/5,"['방문자리뷰 6,729, /place/11605002/review/visitor', '블로그리뷰 221, /place/11605002/review/ugc']"
뜨삽 수성못점,뜨삽 수성못점,피자,4.53/5,"['방문자리뷰 1,204, /restaurant/34779120/review/visitor', '블로그리뷰 851, /restaurant/34779120/review/ugc']"
동성로작은방,동성로작은방,"스파게티,파스타전문",4.79/5,"['방문자리뷰 579, /restaurant/36812568/review/visitor', '블로그리뷰 593, /restaurant/36812568/review/ugc']"
중앙떡볶이,중앙떡볶이,종합분식,4.31/5,"['방문자리뷰 579, /restaurant/20601192/review/visitor', '블로그리뷰 1360, /restaurant/20601192/review/ugc']"
VIN PLUS,VIN PLUS,양식,4.52/5,"['방문자리뷰 192, /restaurant/35644433/review/visitor', '블로그리뷰 959, /restaurant/35644433/review/ugc']"
센도리,센도리,바닷가재요리,4.39/5,"['방문자리뷰 547, /restaurant/13571958/review/visitor', '블로그리뷰 558, /restaurant/13571958/review/ugc']"
삼송빵집 본점,삼송빵집 본점,베이커리,4.2/5,"['방문자리뷰 482, /restaurant/15956340/review/visitor', '블로그리뷰 1257, /restaurant/15956340/review/ugc']"
앞산주택,앞산주택,양식,4.38/5,"['방문자리뷰 360, /restaurant/13571622/review/visitor', '블로그리뷰 838, /restaurant/13571622/review/ugc']"
용지봉,용지봉,한정식,4.42/5,"['방문자리뷰 172, /restaurant/12012643/review/visitor', '블로그리뷰 590, /restaurant/12012643/review/ugc']"
낙영찜갈비 본점,낙영찜갈비 본점,"육류,고기요리",4.31/5,"['방문자리뷰 264, /restaurant/11737762/review/visitor', '블로그리뷰 589, /restaurant/11737762/review/ugc']"
삼송빵집 본점,삼송빵집 본점,베이커리,4.2/5,"['방문자리뷰 482, /restaurant/15956340/review/visitor', '블로그리뷰 1257, /restaurant/15956340/review/ugc']"
최가네케익,최가네케익,케이크전문,4.47/5,"['방문자리뷰 235, /restaurant/13495269/review/visitor', '블로그리뷰 365, /restaurant/13495269/review/ugc']"
티아이티에프,티아이티에프,베이커리,4.42/5,"['방문자리뷰 347, /restaurant/1620047120/review/visitor', '블로그리뷰 725, /restaurant/1620047120/review/ugc']"
카페 루시드,카페 루시드,카페,4.72/5,"['방문자리뷰 313, /restaurant/20601185/review/visitor', '블로그리뷰 491, /restaurant/20601185/review/ugc']"
오르다카페,오르다카페,"카페,디저트",4.64/5,"['방문자리뷰 233, /restaurant/1445922262/review/visitor', '블로그리뷰 584, /restaurant/1445922262/review/ugc']"
오퐁드부아,오퐁드부아,베이커리,4.36/5,"['방문자리뷰 619, /restaurant/1953230167/review/visitor', '블로그리뷰 972, /restaurant/1953230167/review/ugc']"
헤이마,헤이마,카페,4.45/5,"['방문자리뷰 437, /restaurant/1792725205/review/visitor', '블로그리뷰 924, /restaurant/1792725205/review/ugc']"
161커피스튜디오,161커피스튜디오,카페,4.31/5,"['방문자리뷰 220, /restaurant/1405690163/review/visitor', '블로그리뷰 5, /restaurant/1405690163/review/ugc']"
룰리커피,룰리커피,"카페,디저트",4.39/5,"['방문자리뷰 302, /restaurant/1018724541/review/visitor', '블로그리뷰 953, /restaurant/1018724541/review/ugc']"
팔공산자동차극장씨네80,팔공산자동차극장씨네80,영화관,4.48/5,"['방문자리뷰 234, /place/10967336/review/visitor', '블로그리뷰 181, /place/10967336/review/ugc']"
봉무공원,봉무공원,"도시,테마공원",4.69/5,"['방문자리뷰 18, /place/13343446/review/visitor', '블로그리뷰 364, /place/13343446/review/ugc']"
두류공원,두류공원,테마공원,4.31/5,"['방문자리뷰 56, /place/11491361/review/visitor', '블로그리뷰 1647, /place/11491361/review/ugc']"
월광수변공원,월광수변공원,"도시,테마공원",4.33/5,"['방문자리뷰 63, /place/13491368/review/visitor', '블로그리뷰 612, /place/13491368/review/ugc']"
경상감영공원,경상감영공원,테마공원,0,"['방문자리뷰 2, /place/11622388/review/visitor', '블로그리뷰 405, /place/11622388/review/ugc']"
앞산공원,앞산공원,근린공원,4.5/5,"['방문자리뷰 13, /place/11622403/review/visitor', '블로그리뷰 328, /place/11622403/review/ugc']"
옥연지 송해공원,옥연지 송해공원,근린공원,4.23/5,"['방문자리뷰 24, /place/1213250330/review/visitor', '블로그리뷰 953, /place/1213250330/review/ugc']"
수성패밀리파크,수성패밀리파크,테마공원,0,"['방문자리뷰 1, /place/19838422/review/visitor', '블로그리뷰 192, /place/19838422/review/ugc']"
망우당공원,망우당공원,"도시,테마공원",0,"['방문자리뷰 1, /place/13350388/review/visitor', '블로그리뷰 122, /place/13350388/review/ugc']"
달성습지 생태학습관,달성습지 생태학습관,"자연,생태공원",0,"['블로그리뷰 159, /place/1484212321/review/ugc']"
팔공산케이블카,팔공산케이블카,케이블카,4.65/5,"['방문자리뷰 2,083, /place/11873909/review/visitor', '블로그리뷰 1154, /place/11873909/review/ugc']"
빅버드 패러글라이딩 스쿨,빅버드 패러글라이딩 스쿨,"행글라이딩,패러글라이딩",0,"['블로그리뷰 2, /place/11858563/review/ugc']"
점프클라이밍짐,점프클라이밍짐,암벽등반,0,"['블로그리뷰 20, /place/36721215/review/ugc']"
도채유료낚시터,도채유료낚시터,낚시터,0,"['블로그리뷰 5, /place/13433103/review/ugc']"
동성로클라이밍짐,동성로클라이밍짐,암벽등반,4.59/5,"['방문자리뷰 16, /place/1515904783/review/visitor', '블로그리뷰 19, /place/1515904783/review/ugc']"
M클라이밍 남대구점,M클라이밍 남대구점,암벽등반,4.41/5,"['방문자리뷰 16, /place/36952679/review/visitor', '블로그리뷰 46, /place/36952679/review/ugc']"
대구패러글라이딩블루윙스,대구패러글라이딩블루윙스,"행글라이딩,패러글라이딩",0,"['블로그리뷰 1, /place/35438476/review/ugc']"
손세동 클라이밍 칠곡점,손세동 클라이밍 칠곡점,암벽등반,0,"['방문자리뷰 1, /place/33928302/review/visitor']"
파워 클라이밍 센터,파워 클라이밍 센터,암벽등반,0,"['블로그리뷰 18, /place/11785115/review/ugc']"
노보텔 앰배서더 대구,노보텔 앰배서더 대구,호텔,4.6/5,"['방문자리뷰 26, /place/12953757/review/visitor', '블로그리뷰 724, /place/12953757/review/ugc']"
호텔인터불고 대구,호텔인터불고 대구,호텔,4.46/5,"['방문자리뷰 514, /place/38642303/review/visitor', '블로그리뷰 805, /place/38642303/review/ugc']"
팔공은가비,팔공은가비,"백숙,삼계탕",4.71/5,"['방문자리뷰 149, /restaurant/37264287/review/visitor', '블로그리뷰 329, /restaurant/37264287/review/ugc']"
호텔인터불고 엑스코,호텔인터불고 엑스코,호텔,4.35/5,"['방문자리뷰 33, /place/13449869/review/visitor', '블로그리뷰 713, /place/13449869/review/ugc']"
탑골식당,탑골식당,한식,4.27/5,"['방문자리뷰 64, /restaurant/16037583/review/visitor', '블로그리뷰 257, /restaurant/16037583/review/ugc']"
엘디스 리젠트 호텔,엘디스 리젠트 호텔,호텔,4.11/5,"['방문자리뷰 99, /place/10978409/review/visitor', '블로그리뷰 331, /place/10978409/review/ugc']"
한훤당고택 by soga,한훤당고택 by soga,기타숙박업,4.53/5,"['방문자리뷰 184, /accommodation/37341904/review/visitor', '블로그리뷰 713, /accommodation/37341904/review/ugc']"
호텔라온제나,호텔라온제나,호텔,4.48/5,"['방문자리뷰 68, /place/36395290/review/visitor', '블로그리뷰 554, /place/36395290/review/ugc']"
코스트코코리아대구점,코스트코코리아대구점,"슈퍼,마트",4.46/5,"['방문자리뷰 9,736, /place/11575145/review/visitor', '블로그리뷰 1470, /place/11575145/review/ugc']"
이마트 트레이더스 비산점,이마트 트레이더스 비산점,"슈퍼,마트",4.48/5,"['방문자리뷰 8,366, /place/11656651/review/visitor', '블로그리뷰 890, /place/11656651/review/ugc']"
홈플러스 성서점,홈플러스 성서점,"슈퍼,마트",4.46/5,"['방문자리뷰 7,688, /place/11656525/review/visitor', '블로그리뷰 429, /place/11656525/review/ugc']"
롯데마트 대구율하점,롯데마트 대구율하점,"슈퍼,마트",4.46/5,"['방문자리뷰 2,856, /place/13460991/review/visitor', '블로그리뷰 265, /place/13460991/review/ugc']"
이마트 월배점,이마트 월배점,"슈퍼,마트",4.49/5,"['방문자리뷰 7,249, /place/11605033/review/visitor', '블로그리뷰 345, /place/11605033/review/ugc']"
홈플러스 칠곡점,홈플러스 칠곡점,"슈퍼,마트",4.49/5,"['방문자리뷰 6,817, /place/11656534/review/visitor', '블로그리뷰 418, /place/11656534/review/ugc']"
이마트 만촌점,이마트 만촌점,"슈퍼,마트",4.46/5,"['방문자리뷰 4,855, /place/11605048/review/visitor', '블로그리뷰 229, /place/11605048/review/ugc']"
이마트 칠성점,이마트 칠성점,"슈퍼,마트",4.46/5,"['방문자리뷰 4,771, /place/11605062/review/visitor', '블로그리뷰 590, /place/11605062/review/ugc']"
코스트코코리아 대구혁신점,코스트코코리아 대구혁신점,"슈퍼,마트",4.53/5,"['방문자리뷰 4,192, /place/1842568046/review/visitor']"
홈플러스 대구수성점,홈플러스 대구수성점,"슈퍼,마트",4.46/5,"['방문자리뷰 2,716, /place/19809613/review/visitor', '블로그리뷰 89, /place/19809613/review/ugc']"
연경,연경,중식당,4.21/5,"['방문자리뷰 199, /restaurant/31077461/review/visitor', '블로그리뷰 90, /restaurant/31077461/review/ugc']"
송쭈집 본점,송쭈집 본점,주꾸미요리,4.38/5,"['방문자리뷰 606, /restaurant/20451473/review/visitor', '블로그리뷰 663, /restaurant/20451473/review/ugc']"
만다복,만다복,중식당,4.29/5,"['방문자리뷰 636, /restaurant/12016316/review/visitor', '블로그리뷰 1469, /restaurant/12016316/review/ugc']"
신승반점,신승반점,중식당,4.38/5,"['방문자리뷰 597, /restaurant/11887658/review/visitor', '블로그리뷰 1084, /restaurant/11887658/review/ugc']"
카페오라,카페오라,"카페,디저트",0,"['블로그리뷰 2, /restaurant/38498286/review/ugc']"
뻘다방,뻘다방,"카페,디저트",4.34/5,"['방문자리뷰 2,037, /restaurant/36643073/review/visitor', '블로그리뷰 2236, /restaurant/36643073/review/ugc']"
잇츠,이츠미 상무점,떡카페,4.84/5,"['방문자리뷰 135, /restaurant/1045971615/review/visitor', '블로그리뷰 14, /restaurant/1045971615/review/ugc']"
원조신포닭강정,원조신포닭강정,"치킨,닭강정",4.36/5,"['방문자리뷰 1,437, /restaurant/19484722/review/visitor', '블로그리뷰 1035, /restaurant/19484722/review/ugc']"
카페오라,카페오라,"카페,디저트",0,"['블로그리뷰 2, /restaurant/38498286/review/ugc']"
뻘다방,뻘다방,"카페,디저트",4.34/5,"['방문자리뷰 2,037, /restaurant/36643073/review/visitor', '블로그리뷰 2237, /restaurant/36643073/review/ugc']"
하이바다,하이바다,"카페,디저트",4.15/5,"['방문자리뷰 794, /restaurant/1777497357/review/visitor', '블로그리뷰 1727, /restaurant/1777497357/review/ugc']"
조양방직,조양방직,"카페,디저트",4.37/5,"['방문자리뷰 2,323, /restaurant/1140239421/review/visitor', '블로그리뷰 3569, /restaurant/1140239421/review/ugc']"
그린홀리데이,그린홀리데이,카페,4.4/5,"['방문자리뷰 375, /restaurant/13530914/review/visitor', '블로그리뷰 517, /restaurant/13530914/review/ugc']"
마시란비치하우스,마시란비치하우스,"카페,디저트",4.31/5,"['방문자리뷰 278, /restaurant/37890604/review/visitor', '블로그리뷰 277, /restaurant/37890604/review/ugc']"
마시안제빵소,마시안제빵소,베이커리,4.21/5,"['방문자리뷰 2,111, /restaurant/1835362107/review/visitor', '블로그리뷰 957, /restaurant/1835362107/review/ugc']"
토크라피,토크라피,카페,4.35/5,"['방문자리뷰 939, /restaurant/1535829022/review/visitor', '블로그리뷰 958, /restaurant/1535829022/review/ugc']"
그리다디저트,그리다디저트,카페,4.4/5,"['방문자리뷰 170, /restaurant/35652537/review/visitor', '블로그리뷰 321, /restaurant/35652537/review/ugc']"
소래습지생태공원,소래습지생태공원,"자연,생태공원",4.1/5,"['방문자리뷰 20, /place/36480728/review/visitor', '블로그리뷰 1222, /place/36480728/review/ugc']"
자유공원,자유공원,근린공원,4.05/5,"['방문자리뷰 29, /place/11622439/review/visitor', '블로그리뷰 1028, /place/11622439/review/ugc']"
인천대공원,인천대공원,테마공원,4.12/5,"['방문자리뷰 67, /place/12845525/review/visitor', '블로그리뷰 3949, /place/12845525/review/ugc']"
송도 센트럴파크,송도 센트럴파크,시민공원,4.25/5,"['방문자리뷰 200, /place/20118926/review/visitor', '블로그리뷰 3538, /place/20118926/review/ugc']"
인천나비공원,인천나비공원,"자연,생태공원",4.2/5,"['방문자리뷰 32, /place/13319248/review/visitor', '블로그리뷰 538, /place/13319248/review/ugc']"
부평공원,부평공원,근린공원,4.42/5,"['방문자리뷰 12, /place/11622414/review/visitor', '블로그리뷰 353, /place/11622414/review/ugc']"
부평 신트리공원,부평 신트리공원,근린공원,4.22/5,"['방문자리뷰 9, /place/13491192/review/visitor', '블로그리뷰 84, /place/13491192/review/ugc']"
수봉공원,수봉공원,"도시,테마공원",4.14/5,"['방문자리뷰 7, /place/13184379/review/visitor', '블로그리뷰 291, /place/13184379/review/ugc']"
서운체육공원,서운체육공원,"도시,테마공원",4.2/5,"['방문자리뷰 5, /place/16943792/review/visitor', '블로그리뷰 153, /place/16943792/review/ugc']"
늘솔길공원,늘솔길공원,근린공원,2.75/5,"['방문자리뷰 6, /place/35816701/review/visitor', '블로그리뷰 179, /place/35816701/review/ugc']"
만정바다좌대낚시터,만정바다좌대낚시터,낚시터,4.64/5,"['방문자리뷰 7, /place/31028965/review/visitor', '블로그리뷰 114, /place/31028965/review/ugc']"
황청낚시터,황청낚시터,낚시터,0,"['방문자리뷰 2, /place/12134298/review/visitor', '블로그리뷰 147, /place/12134298/review/ugc']"
강화레포츠파크,강화레포츠파크,레포츠시설,4.5/5,"['방문자리뷰 81, /place/1109370557/review/visitor', '블로그리뷰 114, /place/1109370557/review/ugc']"
송도코마린이스트보트하우스,송도코마린이스트보트하우스,요트,4.39/5,"['방문자리뷰 626, /place/35906242/review/visitor', '블로그리뷰 103, /place/35906242/review/ugc']"
황산바다좌대낚시터,황산바다좌대낚시터,낚시터,4.4/5,"['방문자리뷰 5, /place/38404945/review/visitor', '블로그리뷰 262, /place/38404945/review/ugc']"
정성레저낚시터,정성레저낚시터,낚시터,4.36/5,"['방문자리뷰 76, /place/11570893/review/visitor', '블로그리뷰 154, /place/11570893/review/ugc']"
영흥바다낚시터,영흥바다낚시터,낚시터,3.67/5,"['방문자리뷰 27, /place/11594838/review/visitor', '블로그리뷰 55, /place/11594838/review/ugc']"
디스커버리 클라이밍스퀘어 ICN,디스커버리 클라이밍스퀘어 ICN,암벽등반,4.77/5,"['방문자리뷰 607, /place/37017836/review/visitor', '블로그리뷰 127, /place/37017836/review/ugc']"
선재낚시공원,선재낚시공원,낚시터,4.07/5,"['방문자리뷰 149, /place/929122918/review/visitor', '블로그리뷰 115, /place/929122918/review/ugc']"
황산초지바다낚시터,황산초지바다낚시터,낚시터,4.44/5,"['방문자리뷰 8, /place/797928205/review/visitor', '블로그리뷰 92, /place/797928205/review/ugc']"
네스트호텔,네스트호텔,호텔,4.39/5,"['방문자리뷰 756, /place/32622112/review/visitor', '블로그리뷰 3728, /place/32622112/review/ugc']"
파라다이스시티,파라다이스시티,호텔,4.57/5,"['방문자리뷰 579, /place/304210835/review/visitor', '블로그리뷰 3797, /place/304210835/review/ugc']"
쉐라톤 그랜드 인천 호텔,쉐라톤 그랜드 인천 호텔,호텔,4.32/5,"['방문자리뷰 271, /place/13134661/review/visitor', '블로그리뷰 1240, /place/13134661/review/ugc']"
오라카이 송도파크 호텔,오라카이 송도파크 호텔,호텔,4.36/5,"['방문자리뷰 271, /place/33880301/review/visitor', '블로그리뷰 956, /place/33880301/review/ugc']"
그랜드하얏트인천웨스트타워,그랜드하얏트인천웨스트타워,호텔,4.32/5,"['방문자리뷰 478, /place/11557548/review/visitor', '블로그리뷰 1061, /place/11557548/review/ugc']"
송도센트럴파크호텔,송도센트럴파크호텔,호텔,4.28/5,"['방문자리뷰 134, /place/19398065/review/visitor', '블로그리뷰 874, /place/19398065/review/ugc']"
베스트웨스턴 하버파크호텔,베스트웨스턴 하버파크호텔,호텔,4.27/5,"['방문자리뷰 99, /place/13140461/review/visitor', '블로그리뷰 426, /place/13140461/review/ugc']"
트리캠핑장,트리캠핑장,"캠핑,야영장",3.83/5,"['방문자리뷰 9, /accommodation/36830712/review/visitor', '블로그리뷰 238, /accommodation/36830712/review/ugc']"
파크마린호텔,파크마린호텔,호텔,4.18/5,"['방문자리뷰 307, /place/1944207541/review/visitor', '블로그리뷰 361, /place/1944207541/review/ugc']"
홈플러스 간석점,홈플러스 간석점,"슈퍼,마트",4.36/5,"['방문자리뷰 8,884, /place/11656531/review/visitor', '블로그리뷰 471, /place/11656531/review/ugc']"
이마트 트레이더스 송림점,이마트 트레이더스 송림점,"슈퍼,마트",4.44/5,"['방문자리뷰 18,390, /place/11656647/review/visitor', '블로그리뷰 1393, /place/11656647/review/ugc']"
롯데마트 삼산점,롯데마트 삼산점,"슈퍼,마트",4.32/5,"['방문자리뷰 10,967, /place/13028018/review/visitor', '블로그리뷰 285, /place/13028018/review/ugc']"
홈플러스 구월점,홈플러스 구월점,"슈퍼,마트",4.43/5,"['방문자리뷰 4,790, /place/11656662/review/visitor', '블로그리뷰 298, /place/11656662/review/ugc']"
홈플러스 인하점,홈플러스 인하점,"슈퍼,마트",4.39/5,"['방문자리뷰 7,729, /place/11656679/review/visitor', '블로그리뷰 188, /place/11656679/review/ugc']"
이마트 연수점,이마트 연수점,"슈퍼,마트",4.47/5,"['방문자리뷰 8,682, /place/11605027/review/visitor', '블로그리뷰 482, /place/11605027/review/ugc']"
롯데마트 부평점,롯데마트 부평점,"슈퍼,마트",4.32/5,"['방문자리뷰 6,756, /place/11583044/review/visitor', '블로그리뷰 173, /place/11583044/review/ugc']"
홈플러스 인천논현점,홈플러스 인천논현점,"슈퍼,마트",4.44/5,"['방문자리뷰 4,750, /place/13447701/review/visitor', '블로그리뷰 211, /place/13447701/review/ugc']"
코스트코코리아 송도국제도시점,코스트코코리아 송도국제도시점,"슈퍼,마트",4.47/5,"['방문자리뷰 11,062, /place/918955206/review/visitor', '블로그리뷰 1251, /place/918955206/review/ugc']"
홈플러스 가좌점,홈플러스 가좌점,"슈퍼,마트",4.31/5,"['방문자리뷰 4,006, /place/11656514/review/visitor', '블로그리뷰 490, /place/11656514/review/ugc']"
어나더키친,어나더키친,양식,4.53/5,"['방문자리뷰 607, /restaurant/35823991/review/visitor', '블로그리뷰 1769, /restaurant/35823991/review/ugc']"
HAGOS,HAGOS,양식,4.36/5,"['방문자리뷰 388, /restaurant/34053128/review/visitor', '블로그리뷰 1364, /restaurant/34053128/review/ugc']"
상무초밥 상무점,상무초밥 상무점,"초밥,롤",4.34/5,"['방문자리뷰 967, /restaurant/38347285/review/visitor', '블로그리뷰 1294, /restaurant/38347285/review/ugc']"
교촌치킨 조선대점,교촌치킨 조선대점,"치킨,닭강정",4.36/5,"['주문자리뷰 114, /restaurant/12874494/review/visitor', '블로그리뷰 6, /restaurant/12874494/review/ugc']"
영미오리탕,영미오리탕,오리요리,4.22/5,"['방문자리뷰 302, /restaurant/11718943/review/visitor', '블로그리뷰 514, /restaurant/11718943/review/ugc']"
양동통닭,양동통닭,"치킨,닭강정",4.34/5,"['방문자리뷰 516, /restaurant/19867385/review/visitor', '블로그리뷰 357, /restaurant/19867385/review/ugc']"
