Name,Call,Address,Operation,Naver_link,rank,star_score,Visitors,Blog,Category
롯데월드,1661-2000,서울 송파구 올림픽로 240,매일10:00-21:00,http://www.lotteworld.com/,0.7636610392547963,4,33267,7997,테마파크
에버랜드,031-320-5000,경기 용인시 처인구 포곡읍 에버랜드로 199,매일10:00-21:00,http://www.everland.com/,1.0363389607452036,4,41506,14492,테마파크
여의도 한강공원,02-3780-0561,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,매일00:00-24:00,http://hangang.seoul.go.kr/archives/46758,1.8,4,163,7666,시민공원
연희 38 애비뉴,02-332-3801,서울 서대문구 연희맛로 38 인준빌딩 B1,매일18:00-02:00,,1.8,4,28,75,요리주점
